plant_id,plant_name,company,city,country,region,product,capacity_kta,process_route,startup_year,status,complex_id,source_type
PL-038,Ulsan Cracker 1,Hanyang Olefins,Ulsan,South Korea,Northeast Asia,Ethylene,1100,Steam Cracking (Naphtha),2014,Operating,CPX-KR-01,Company announcement
PL-039,Ulsan LLDPE 1,Hanyang Olefins,Ulsan,South Korea,Northeast Asia,LLDPE,320,Gas Phase,2015,Operating,CPX-KR-01,Company announcement
PL-040,Haldia Cracker,Bengal Petrochem Ltd,Haldia,India,South Asia,Ethylene,700,Steam Cracking (Naphtha),2017,Operating,CPX-IN-01,Company announcement
PL-041,Haldia PDH,Bengal Petrochem Ltd,Haldia,India,South Asia,Propylene,500,PDH,2027,Under construction,CPX-IN-01,Company announcement
PL-042,Haldia HDPE 1,Bengal Petrochem Ltd,Haldia,India,South Asia,HDPE,350,Slurry Loop,2017,Operating,CPX-IN-01,Company announcement
PL-043,Dahej PP 1,Narmada Polymers,Dahej,India,South Asia,PP,400,Gas Phase,2019,Operating,CPX-IN-02,Regulatory filing
PL-044,Jubail Ethane Cracker 1,Gulf Meridian Chemicals,Jubail,Saudi Arabia,Middle East,Ethylene,1500,Steam Cracking (Ethane),2013,Operating,CPX-SA-01,Company announcement
PL-045,Jubail Ethane Cracker 2,Gulf Meridian Chemicals,Jubail,Saudi Arabia,Middle East,Ethylene,1300,Steam Cracking (Ethane),2027,Under construction,CPX-SA-01,Company announcement
PL-046,Jubail HDPE 1,Gulf Meridian Chemicals,Jubail,Saudi Arabia,Middle East,HDPE,600,Slurry Loop,2013,Operating,CPX-SA-01,Company announcement
PL-047,Jubail LLDPE 1,Gulf Meridian Chemicals,Jubail,Saudi Arabia,Middle East,LLDPE,550,Gas Phase,2014,Operating,CPX-SA-01,Company announcement
PL-048,Sohar Cracker,Batinah Olefins,Sohar,Oman,Middle East,Ethylene,850,Steam Cracking (Ethane),2020,Operating,CPX-OM-01,Company announcement
PL-049,Antwerp Cracker 1,Scheldt Chemical NV,Antwerp,Belgium,NW Europe,Ethylene,750,Steam Cracking (Naphtha),1998,Operating,CPX-BE-01,Company announcement
PL-050,Antwerp LDPE 1,Scheldt Chemical NV,Antwerp,Belgium,NW Europe,LDPE,280,Autoclave LDPE,1999,Operating,CPX-BE-01,Regulatory filing
PL-051,Teesside Cracker,Northsea Olefins Ltd,Teesside,United Kingdom,NW Europe,Ethylene,620,Steam Cracking (Mixed Feed),2005,Idled,CPX-UK-01,Company announcement
PL-052,Teesside HDPE 1,Northsea Olefins Ltd,Teesside,United Kingdom,NW Europe,HDPE,240,Slurry Loop,2006,Idled,CPX-UK-01,Not publicly confirmed
