month,product,region,price,unit,basis,source_type
2024-04-01,Naphtha,Asia CFR,621,USD/tonne,Spot,Price assessment
2024-05-01,Naphtha,Asia CFR,623,USD/tonne,Spot,Price assessment
2024-06-01,Naphtha,Asia CFR,621,USD/tonne,Spot,Price assessment
2024-07-01,Naphtha,Asia CFR,609,USD/tonne,Spot,Price assessment
2024-08-01,Naphtha,Asia CFR,610,USD/tonne,Spot,Price assessment
2024-09-01,Naphtha,Asia CFR,599,USD/tonne,Spot,Price assessment
2024-10-01,Naphtha,Asia CFR,598,USD/tonne,Spot,Price assessment
2024-11-01,Naphtha,Asia CFR,588,USD/tonne,Spot,Price assessment
2024-12-01,Naphtha,Asia CFR,578,USD/tonne,Spot,Price assessment
2025-01-01,Naphtha,Asia CFR,577,USD/tonne,Spot,Price assessment
2025-02-01,Naphtha,Asia CFR,586,USD/tonne,Spot,Price assessment
2025-03-01,Naphtha,Asia CFR,577,USD/tonne,Spot,Price assessment
2025-04-01,Naphtha,Asia CFR,571,USD/tonne,Spot,Price assessment
2025-05-01,Naphtha,Asia CFR,575,USD/tonne,Spot,Price assessment
2025-06-01,Naphtha,Asia CFR,587,USD/tonne,Spot,Price assessment
2025-07-01,Naphtha,Asia CFR,590,USD/tonne,Spot,Price assessment
2025-08-01,Naphtha,Asia CFR,588,USD/tonne,Spot,Price assessment
2025-09-01,Naphtha,Asia CFR,602,USD/tonne,Spot,Price assessment
2025-10-01,Naphtha,Asia CFR,591,USD/tonne,Spot,Price assessment
2025-11-01,Naphtha,Asia CFR,601,USD/tonne,Spot,Price assessment
2025-12-01,Naphtha,Asia CFR,596,USD/tonne,Spot,Price assessment
2026-01-01,Naphtha,Asia CFR,605,USD/tonne,Spot,Price assessment
2026-02-01,Naphtha,Asia CFR,608,USD/tonne,Spot,Price assessment
2026-03-01,Naphtha,Asia CFR,615,USD/tonne,Spot,Price assessment
2026-04-01,Naphtha,Asia CFR,630,USD/tonne,Spot,Price assessment
2026-05-01,Naphtha,Asia CFR,617,USD/tonne,Spot,Price assessment
2026-06-01,Naphtha,Asia CFR,614,USD/tonne,Spot,Price assessment
2026-07-01,Naphtha,Asia CFR,584,USD/tonne,Spot,Price assessment
2026-08-01,Naphtha,Asia CFR,581,USD/tonne,Spot,Price assessment
2024-01-01,PP,Southeast Asia CFR,1014,USD/tonne,Spot,Price assessment
2024-02-01,PP,Southeast Asia CFR,1022,USD/tonne,Spot,Price assessment
2024-03-01,PP,Southeast Asia CFR,1014,USD/tonne,Spot,Price assessment
2024-04-01,PP,Southeast Asia CFR,1009,USD/tonne,Spot,Price assessment
2024-05-01,PP,Southeast Asia CFR,998,USD/tonne,Spot,Price assessment
2024-06-01,PP,Southeast Asia CFR,1009,USD/tonne,Spot,Price assessment
2024-07-01,PP,Southeast Asia CFR,1010,USD/tonne,Spot,Price assessment
2024-08-01,PP,Southeast Asia CFR,1021,USD/tonne,Spot,Price assessment
2024-09-01,PP,Southeast Asia CFR,1016,USD/tonne,Spot,Price assessment
2024-10-01,PP,Southeast Asia CFR,1006,USD/tonne,Spot,Price assessment
2024-11-01,PP,Southeast Asia CFR,1018,USD/tonne,Spot,Price assessment
2024-12-01,PP,Southeast Asia CFR,1037,USD/tonne,Spot,Price assessment
2025-01-01,PP,Southeast Asia CFR,1051,USD/tonne,Spot,Price assessment
2025-02-01,PP,Southeast Asia CFR,1063,USD/tonne,Spot,Price assessment
2025-03-01,PP,Southeast Asia CFR,1076,USD/tonne,Spot,Price assessment
2025-04-01,PP,Southeast Asia CFR,1086,USD/tonne,Spot,Price assessment
2025-05-01,PP,Southeast Asia CFR,1076,USD/tonne,Spot,Price assessment
2025-06-01,PP,Southeast Asia CFR,1077,USD/tonne,Spot,Price assessment
2025-07-01,PP,Southeast Asia CFR,1073,USD/tonne,Spot,Price assessment
2025-08-01,PP,Southeast Asia CFR,1055,USD/tonne,Spot,Price assessment
2025-09-01,PP,Southeast Asia CFR,1038,USD/tonne,Spot,Price assessment
2025-10-01,PP,Southeast Asia CFR,1030,USD/tonne,Spot,Price assessment
2025-11-01,PP,Southeast Asia CFR,1084,USD/tonne,Spot,Price assessment
2025-12-01,PP,Southeast Asia CFR,1082,USD/tonne,Spot,Price assessment
2026-01-01,PP,Southeast Asia CFR,1048,USD/tonne,Spot,Price assessment
2026-02-01,PP,Southeast Asia CFR,1046,USD/tonne,Spot,Price assessment
2026-03-01,PP,Southeast Asia CFR,1064,USD/tonne,Spot,Price assessment
2026-04-01,PP,Southeast Asia CFR,1083,USD/tonne,Spot,Price assessment
2026-05-01,PP,Southeast Asia CFR,1102,USD/tonne,Spot,Price assessment
2026-06-01,PP,Southeast Asia CFR,1097,USD/tonne,Spot,Price assessment
2026-07-01,PP,Southeast Asia CFR,,USD/tonne,Spot,Not publicly confirmed
2026-08-01,PP,Southeast Asia CFR,,USD/tonne,Spot,Not publicly confirmed
2024-01-01,Propylene,Southeast Asia CFR,875,USD/tonne,Spot,Price assessment
2024-02-01,Propylene,Southeast Asia CFR,891,USD/tonne,Spot,Price assessment
2024-03-01,Propylene,Southeast Asia CFR,911,USD/tonne,Spot,Price assessment
2024-04-01,Propylene,Southeast Asia CFR,897,USD/tonne,Spot,Price assessment
2024-05-01,Propylene,Southeast Asia CFR,884,USD/tonne,Spot,Price assessment
2024-06-01,Propylene,Southeast Asia CFR,874,USD/tonne,Spot,Price assessment
2024-07-01,Propylene,Southeast Asia CFR,864,USD/tonne,Spot,Price assessment
2024-08-01,Propylene,Southeast Asia CFR,864,USD/tonne,Spot,Price assessment
2024-09-01,Propylene,Southeast Asia CFR,868,USD/tonne,Spot,Price assessment
2024-10-01,Propylene,Southeast Asia CFR,859,USD/tonne,Spot,Price assessment
2024-11-01,Propylene,Southeast Asia CFR,841,USD/tonne,Spot,Price assessment
2024-12-01,Propylene,Southeast Asia CFR,838,USD/tonne,Spot,Price assessment
2025-01-01,Propylene,Southeast Asia CFR,834,USD/tonne,Spot,Price assessment
2025-02-01,Propylene,Southeast Asia CFR,837,USD/tonne,Spot,Price assessment
2025-03-01,Propylene,Southeast Asia CFR,855,USD/tonne,Spot,Price assessment
2025-04-01,Propylene,Southeast Asia CFR,863,USD/tonne,Spot,Price assessment
2025-05-01,Propylene,Southeast Asia CFR,864,USD/tonne,Spot,Price assessment
2025-06-01,Propylene,Southeast Asia CFR,870,USD/tonne,Spot,Price assessment
2025-07-01,Propylene,Southeast Asia CFR,878,USD/tonne,Spot,Price assessment
2025-08-01,Propylene,Southeast Asia CFR,860,USD/tonne,Spot,Price assessment
2025-09-01,Propylene,Southeast Asia CFR,877,USD/tonne,Spot,Price assessment
2025-10-01,Propylene,Southeast Asia CFR,889,USD/tonne,Spot,Price assessment
2025-11-01,Propylene,Southeast Asia CFR,905,USD/tonne,Spot,Price assessment
2025-12-01,Propylene,Southeast Asia CFR,918,USD/tonne,Spot,Price assessment
2026-01-01,Propylene,Southeast Asia CFR,841,USD/tonne,Contract,Price assessment
2026-02-01,Propylene,Southeast Asia CFR,838,USD/tonne,Contract,Price assessment
2026-03-01,Propylene,Southeast Asia CFR,823,USD/tonne,Contract,Price assessment
2026-04-01,Propylene,Southeast Asia CFR,870,USD/tonne,Contract,Price assessment
2026-05-01,Propylene,Southeast Asia CFR,813,USD/tonne,Contract,Price assessment
2026-06-01,Propylene,Southeast Asia CFR,798,USD/tonne,Contract,Price assessment
2026-07-01,Propylene,Southeast Asia CFR,788,USD/tonne,Contract,Price assessment
2026-08-01,Propylene,Southeast Asia CFR,776,USD/tonne,Contract,Price assessment
